cd_cvm,name,group,year_prev,year_curr,cosine_similarity_cmn,diagnostic_prev,diagnostic_curr
018376,ISA ENERGIA,stayed,2018,2019,0.9746,regex_only,regex_only
018376,ISA ENERGIA,stayed,2019,2020,0.0176,regex_only,font_heading
018376,ISA ENERGIA,stayed,2020,2021,0.0961,font_heading,font_heading
018376,ISA ENERGIA,stayed,2021,2022,0.1967,font_heading,font_heading
018376,ISA ENERGIA,stayed,2022,2023,0.0933,font_heading,regex_only
018376,ISA ENERGIA,stayed,2023,2024,0.0933,regex_only,font_heading
018465,ULTRAPAR,stayed,2015,2016,0.9667,font_heading,font_heading
018465,ULTRAPAR,stayed,2016,2017,0.9342,font_heading,font_heading
018465,ULTRAPAR,stayed,2017,2018,0.9526,font_heading,font_heading
018465,ULTRAPAR,stayed,2018,2019,0.4563,font_heading,regex_only
018465,ULTRAPAR,stayed,2019,2020,0.2911,regex_only,font_heading
018465,ULTRAPAR,stayed,2020,2022,0.7757,font_heading,font_heading
018465,ULTRAPAR,stayed,2022,2023,0.6389,font_heading,font_heading
018465,ULTRAPAR,stayed,2023,2024,0.4182,font_heading,font_heading
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2015,2016,0.8772,regex_only,regex_only
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2016,2017,0.8951,regex_only,regex_only
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2017,2018,0.5366,regex_only,regex_only
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2018,2019,0.591,regex_only,regex_only
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2019,2020,0.8931,regex_only,regex_only
018627,Cia. de Saneamento do Paraná (Sanepar),dropped_or_delisted,2020,2021,0.3032,regex_only,font_heading
