cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
5410,2022,2023,0.9767,99119,103611,stayed,True,True,True,2024-02-21,5410.0,WEGE3,2023-12-31,0.32,2024-03-31,0.315,-0.0050000000000000044,-0.015625000000000014,WEG S.A.,2023.0,31496270.0,32503601.0,5867615.0,17854776.0,13641494.0,17.265379684086113,17.2968614411621,0.4331145878543713,0.1862955518224856,0.3286299979344462,-0.014419225634179
5410,2023,2024,0.9627,103611,112878,stayed,True,True,True,2025-02-26,5410.0,WEGE3,2024-12-31,0.375,2025-03-31,0.45,0.07500000000000001,0.20000000000000004,WEG S.A.,2024.0,41489701.0,37986941.0,6318763.0,23125217.0,18364484.0,17.540955785727288,17.452753000732017,0.4426275330352465,0.1522971447781703,0.2732412413686756,0.4642064372918979
6505,2015,2016,0.8717,140191,143638,dropped_or_delisted,True,True,True,2017-02-23,6505.0,BHIA3,2016-12-31,3.750000124,2017-03-31,4.750000157,1.0000000329999996,0.2666666666488888,Grupo Casas Bahia S.A. (Via Varejo),2016.0,17527000.0,19819000.0,-95000.0,2808000.0,14719000.0,16.679253107055313,16.802151631506486,0.8397900382267359,-0.0054202088206766,-0.0338319088319088,0.9148936170212768
6505,2016,2017,0.9138,143638,142991,dropped_or_delisted,True,True,True,2018-02-19,6505.0,BHIA3,2017-12-31,4.375000144,2018-03-31,4.500000149,0.12500000499999953,0.028571428773877434,Grupo Casas Bahia S.A. (Via Varejo),2017.0,19931000.0,25690000.0,195000.0,2959000.0,16972000.0,16.807786866544873,17.061612369086067,0.8515378054287291,0.0097837539511314,0.0659006421088205,1.2657142857142856
6505,2017,2018,0.8055,142991,158243,dropped_or_delisted,True,True,True,2019-02-20,6505.0,BHIA3,2018-12-31,4.829999892,2019-03-31,0.319999993,-4.509999899,-0.9337474119761326,Grupo Casas Bahia S.A. (Via Varejo),2018.0,21056000.0,26928000.0,-267000.0,2523000.0,18533000.0,16.86269611310718,17.108677195412724,0.8801766717325228,-0.01268047112462,-0.1058263971462544,-0.4335483870967742
6505,2018,2019,0.7641,158243,166276,dropped_or_delisted,True,True,True,2020-03-26,6505.0,BHIA3,2019-12-31,-6.219999861,2020-03-31,2.709999939,8.9299998,1.4356913182574105,Grupo Casas Bahia S.A. (Via Varejo),2019.0,24424000.0,25655000.0,-1433000.0,578000.0,23846000.0,17.01107681339685,17.0602490423582,0.97633475270226,-0.0586717982312479,-2.47923875432526,1.561926605504587
6505,2019,2020,0.7428,166276,165875,dropped_or_delisted,True,True,True,2021-03-02,6505.0,BHIA3,2020-12-31,3.419999924,2021-03-31,2.24999995,-1.169999974,-0.34210526315789475,Grupo Casas Bahia S.A. (Via Varejo),2020.0,33056000.0,28901000.0,1004000.0,5979000.0,27077000.0,17.3137136509015,17.17938675456015,0.8191251210067764,0.0303727008712487,0.1679210570329486,0.4704276615104641
6505,2020,2021,0.7945,165875,164701,dropped_or_delisted,True,True,True,2022-03-09,6505.0,BHIA3,2021-12-31,-1.069999976,2022-03-31,-1.749999961,-0.679999985,-0.6355140189274172,Grupo Casas Bahia S.A. (Via Varejo),2021.0,35340000.0,30899000.0,-297000.0,5637000.0,29703000.0,17.380526024855826,17.24623437888475,0.8404923599320883,-0.0084040747028862,-0.0526875997871208,-0.6929824561403508
6505,2021,2022,0.9027,164701,164368,dropped_or_delisted,True,True,True,2023-03-09,6505.0,BHIA3,2022-12-31,-2.68999994,2023-03-31,0.289999994,2.979999934,1.107806691623941,Grupo Casas Bahia S.A. (Via Varejo),2022.0,35574000.0,30898000.0,-342000.0,5284000.0,30290000.0,17.38712559191756,17.24620201485413,0.8514645527632541,-0.0096137628605161,-0.0647236941710825,-0.5112016293279023
6505,2022,2023,0.8896,164368,153589,dropped_or_delisted,True,True,True,2024-03-25,6505.0,BHIA3,2023-12-31,-6.09,2024-03-31,-0.17,5.92,0.9720853858784894,Grupo Casas Bahia S.A. (Via Varejo),2023.0,31996000.0,28847000.0,-2625000.0,3454000.0,28542000.0,17.28112145295085,17.17751655937627,0.8920490061257658,-0.0820415051881485,-0.759988419224088,-0.761675392670157
6505,2023,2024,0.9063,153589,162067,dropped_or_delisted,True,True,True,2025-03-12,6505.0,BHIA3,,,,,,,Grupo Casas Bahia S.A. (Via Varejo),2024.0,33889000.0,27206000.0,-1045000.0,2477000.0,31412000.0,17.338601035918614,17.11894809517551,0.9269084363657824,-0.0308359644722476,-0.421881308033912,-0.7177734375
8087,2015,2016,0.8802,181928,166065,dropped_or_delisted,True,True,True,2017-02-20,,,,,,,,,Lojas Americanas S.A. (pre-2021 restructuring entity),2016.0,20775991.0,18103512.0,27828.0,3155132.0,17620859.0,16.84930859913248,16.71161651056323,0.8481356677522627,0.0013394306918981,0.0088199162507305,
8087,2019,2020,0.8584,170120,206208,dropped_or_delisted,True,True,True,2021-03-04,,,,,,,,,Lojas Americanas S.A. (pre-2021 restructuring entity),2020.0,47709461.0,21291412.0,314929.0,15870576.0,31838885.0,17.68064028000655,16.873814356887443,0.6673495011817467,0.0066009758525672,0.0198435771959379,
8133,2019,2020,0.7729,139213,180180,stayed,True,True,True,2021-02-11,8133.0,LREN3,2020-12-31,0.360000016,2021-06-30,0.250000011,-0.11000000499999996,-0.3055555558641974,LOJAS RENNER S.A.,2020.0,14642583.0,7537180.0,1096269.0,5501316.0,9141267.0,16.499444485360947,15.83535866472167,0.6242933367698855,0.0748685529049075,0.1992739555408197,-0.1957886960193066
8133,2020,2021,0.6466,180180,150743,stayed,True,True,True,2022-03-17,8133.0,LREN3,2021-09-30,0.200000009,2022-06-30,0.300000007,0.099999998,0.4999999675000015,LOJAS RENNER S.A.,2021.0,21411985.0,10571556.0,633112.0,9806621.0,11605364.0,16.87946136995341,16.173677556094535,0.5420031818628679,0.0295681133720203,0.0645596480173956,-0.4194774345904615
8133,2021,2022,0.9279,150743,143572,stayed,True,True,True,2023-02-16,8133.0,LREN3,2022-12-31,0.490000011,2023-03-31,0.048000001,-0.44200001,-0.902040816484798,LOJAS RENNER S.A.,2022.0,21148892.0,13271137.0,1291704.0,10087515.0,11061377.0,16.86709807437742,16.401102084627347,0.523023948488649,0.0610766748442424,0.1280497724166953,-0.2183206106703571
