cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cd_cvm_int
013986,SUZANO S.A.,2012,2013,0.5569,19344,15678,font_heading,font_heading,13986
013986,SUZANO S.A.,2013,2014,0.5646,15678,8621,font_heading,font_heading,13986
013986,SUZANO S.A.,2014,2015,0.8771,8621,9391,font_heading,font_heading,13986
014109,Randoncorp SA,2010,2012,0.744,5900,4764,font_heading,font_heading,14109
014109,Randoncorp SA,2012,2013,0.3536,4764,55347,font_heading,font_heading,14109
014109,Randoncorp SA,2013,2014,0.3528,55347,6329,font_heading,font_heading,14109
014109,Randoncorp SA,2014,2015,0.8618,6329,7800,font_heading,font_heading,14109
014109,Randoncorp SA,2022,2023,0.4316,5125,6776,font_heading,font_heading,14109
014109,Randoncorp SA,2023,2024,0.8988,6776,8759,font_heading,font_heading,14109
014109,Randoncorp SA,2024,2025,0.8949,8759,8264,font_heading,font_heading,14109
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,2010,2011,0.8622,17017,14498,font_heading,font_heading,14176
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,2011,2012,0.1366,14498,5111,font_heading,font_heading,14176
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,2012,2013,0.2316,5111,351,font_heading,font_heading,14176
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,2013,2014,0.4788,351,2031,font_heading,font_heading,14176
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,2014,2015,0.8272,2031,1706,font_heading,font_heading,14176
014311,COPEL,2010,2011,0.9493,22597,23152,font_heading,font_heading,14311
014311,COPEL,2011,2012,0.6178,23152,14455,font_heading,font_heading,14311
014311,COPEL,2012,2013,0.9167,14455,16863,font_heading,font_heading,14311
014320,USIMINAS,2010,2011,0.909,13134,13455,font_heading,font_heading,14320
014320,USIMINAS,2011,2012,0.9567,13455,12313,font_heading,font_heading,14320
014320,USIMINAS,2012,2013,0.9657,12313,12879,font_heading,font_heading,14320
014320,USIMINAS,2013,2014,0.8848,12879,8801,font_heading,font_heading,14320
014320,USIMINAS,2014,2015,0.9306,8801,8699,font_heading,font_heading,14320
014443,SABESP,2010,2011,0.0123,206,23155,font_heading,font_heading,14443
014443,SABESP,2013,2014,0.314,5165,29700,font_heading,font_heading,14443
014443,SABESP,2014,2015,0.9322,29700,30275,font_heading,font_heading,14443
014460,CYRELA REALT,2010,2011,0.0633,7047,962,font_heading,font_heading,14460
014460,CYRELA REALT,2011,2012,0.0633,962,10461,font_heading,font_heading,14460
014460,CYRELA REALT,2012,2013,0.9293,10461,8906,font_heading,font_heading,14460
014460,CYRELA REALT,2013,2014,0.9151,8906,10224,font_heading,font_heading,14460
014460,CYRELA REALT,2014,2015,0.2807,10224,98953,font_heading,font_heading,14460
014621,NET Servicos de Comunicacao SA,2012,2013,0.4557,1401,2160,font_heading,font_heading,14621
014761,Cia Hering,2010,2011,0.5705,3563,4711,font_heading,font_heading,14761
014761,Cia Hering,2011,2012,0.5662,4711,2599,font_heading,font_heading,14761
014761,Cia Hering,2012,2013,0.651,2599,1819,font_heading,font_heading,14761
014761,Cia Hering,2013,2014,0.7864,1819,1379,font_heading,font_heading,14761
014761,Cia Hering,2014,2015,0.4719,1379,822,font_heading,font_heading,14761
014826,Companhia Brasileira de Distribuição (GPA),2010,2011,0.7936,17082,14715,font_heading,font_heading,14826
014826,Companhia Brasileira de Distribuição (GPA),2011,2012,0.3816,14715,86455,font_heading,font_heading,14826
014826,Companhia Brasileira de Distribuição (GPA),2012,2013,0.4342,86455,10901,font_heading,font_heading,14826
014826,Companhia Brasileira de Distribuição (GPA),2013,2014,0.8006,10901,6168,font_heading,font_heading,14826
014826,Companhia Brasileira de Distribuição (GPA),2014,2015,0.9108,6168,7026,font_heading,font_heading,14826
015253,ENERGISA,2010,2011,0.0731,2878,366,font_heading,font_heading,15253
015253,ENERGISA,2011,2012,0.0492,366,28065,font_heading,font_heading,15253
015539,Neoenergia SA,2010,2011,0.9612,24451,23444,font_heading,font_heading,15539
015539,Neoenergia SA,2011,2012,0.8984,23444,29599,font_heading,font_heading,15539
015539,Neoenergia SA,2015,2016,0.7851,4423,4606,font_heading,font_heading,15539
015539,Neoenergia SA,2018,2019,0.2234,116319,2864,font_heading,font_heading,15539
015539,Neoenergia SA,2019,2020,0.1465,2864,6335,font_heading,font_heading,15539
015539,Neoenergia SA,2020,2021,0.8833,6335,7187,font_heading,font_heading,15539
015539,Neoenergia SA,2021,2022,0.6213,7187,14041,font_heading,font_heading,15539
015539,Neoenergia SA,2022,2023,0.2179,14041,1153,font_heading,font_heading,15539
015539,Neoenergia SA,2023,2024,0.8833,1153,1149,font_heading,font_heading,15539
015539,Neoenergia SA,2024,2025,1.0,1149,1059,font_heading,font_heading,15539
015636,Cia de Gas de Sao Paulo SA,2010,2011,0.8402,4013,5685,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2011,2012,0.8949,5685,6416,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2012,2013,0.8941,6416,8323,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2013,2014,0.7067,8323,6858,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2014,2015,0.8746,6858,8425,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2015,2016,0.9576,8425,9967,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2016,2017,0.4548,9967,49340,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2017,2018,0.1441,49340,679,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2018,2019,0.9084,679,977,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2019,2020,0.3401,977,5877,font_heading,font_heading,15636
015636,Cia de Gas de Sao Paulo SA,2020,2021,0.6877,5877,4232,font_heading,font_heading,15636
016101,Gafisa S.A.,2010,2011,0.8007,13136,13988,font_heading,font_heading,16101
016101,Gafisa S.A.,2011,2012,0.7964,13988,21045,font_heading,font_heading,16101
016101,Gafisa S.A.,2012,2013,0.8066,21045,14072,font_heading,font_heading,16101
016101,Gafisa S.A.,2013,2014,0.8517,14072,11422,font_heading,font_heading,16101
016101,Gafisa S.A.,2014,2015,0.9208,11422,9999,font_heading,font_heading,16101
016292,BRF S.A.,2012,2013,0.8043,12616,14027,font_heading,font_heading,16292
016292,BRF S.A.,2013,2014,0.9309,14027,13185,font_heading,font_heading,16292
016292,BRF S.A.,2014,2015,0.944,13185,14058,font_heading,font_heading,16292
016306,Rossi Residencial S.A. - Em Recuperação Judicial,2012,2013,0.6749,10716,5650,font_heading,font_heading,16306
016306,Rossi Residencial S.A. - Em Recuperação Judicial,2013,2014,0.7588,5650,10127,font_heading,font_heading,16306
016306,Rossi Residencial S.A. - Em Recuperação Judicial,2014,2015,0.6169,10127,7447,font_heading,font_heading,16306
017329,ENGIE BRASIL,2010,2011,0.0,670,2661,font_heading,font_heading,17329
017329,ENGIE BRASIL,2013,2014,0.0413,234,14428,font_heading,font_heading,17329
017329,ENGIE BRASIL,2014,2015,0.0453,14428,242,font_heading,font_heading,17329
017450,RUMO S.A.,2010,2011,0.9054,7505,11828,font_heading,font_heading,17450
017450,RUMO S.A.,2013,2014,0.7657,8015,9752,font_heading,font_heading,17450
017450,RUMO S.A.,2014,2015,0.2171,9752,3870,font_heading,font_heading,17450
017639,TIM Participacoes SA,2011,2012,0.8962,7272,8906,font_heading,font_heading,17639
017639,TIM Participacoes SA,2012,2013,0.9068,8906,11300,font_heading,font_heading,17639
017639,TIM Participacoes SA,2013,2014,0.9122,11300,8088,font_heading,font_heading,17639
017639,TIM Participacoes SA,2014,2015,0.7903,8088,6079,font_heading,font_heading,17639
017639,TIM Participacoes SA,2015,2016,0.0248,6079,1772,font_heading,font_heading,17639
017639,TIM Participacoes SA,2016,2017,0.0352,1772,6568,font_heading,font_heading,17639
017639,TIM Participacoes SA,2017,2018,0.8681,6568,6357,font_heading,font_heading,17639
017639,TIM Participacoes SA,2018,2019,0.8766,6357,6240,font_heading,font_heading,17639
017671,TELEF BRASIL,2010,2011,0.34,1797,15931,font_heading,font_heading,17671
017671,TELEF BRASIL,2011,2012,0.878,15931,20580,font_heading,font_heading,17671
017671,TELEF BRASIL,2012,2013,0.89,20580,23636,font_heading,font_heading,17671
017671,TELEF BRASIL,2013,2014,0.8321,23636,23534,font_heading,font_heading,17671
017671,TELEF BRASIL,2014,2015,0.7953,23534,28026,font_heading,font_heading,17671
017892,Santos Brasil Participações S.A.,2010,2011,0.9263,5883,6853,font_heading,font_heading,17892
017892,Santos Brasil Participações S.A.,2011,2012,0.8443,6853,5831,font_heading,font_heading,17892
017892,Santos Brasil Participações S.A.,2012,2013,0.8994,5831,3989,font_heading,font_heading,17892
017892,Santos Brasil Participações S.A.,2013,2014,0.8721,3989,3963,font_heading,font_heading,17892
017892,Santos Brasil Participações S.A.,2014,2015,0.9385,3963,4688,font_heading,font_heading,17892
017914,Massa Falida da MMX Mineração e Metálicos S.A.,2010,2011,0.7697,7070,3738,font_heading,font_heading,17914
017914,Massa Falida da MMX Mineração e Metálicos S.A.,2011,2012,0.4587,3738,4116,font_heading,font_heading,17914
017914,Massa Falida da MMX Mineração e Metálicos S.A.,2012,2013,0.7861,4116,6043,font_heading,font_heading,17914
