cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return,extreme_ar,prev_ok,curr_ok,both_ok
16101,2019,2020,0.9545,175093,172530,GFSA3,2021-03-16,2021-03-16,2022-03-21,-0.6365503080768486,0.0187315633442139,-0.6552818714210626,True,True,True,True
16101,2020,2021,0.9731,172530,181063,GFSA3,2022-03-19,2022-03-21,2023-03-22,-0.578032307580552,-0.1371784638963283,-0.4408538436842236,False,True,True,True
16101,2023,2024,0.9211,180774,141451,GFSA3,2025-03-27,2025-03-27,2026-03-31,-0.9484756097560976,0.4079128793924089,-1.3563884891485063,True,True,True,True
16292,2016,2017,0.7789,58216,74516,BRFS3,2018-02-22,2018-02-22,2019-03-01,-0.3376371852808263,0.091332613113122,-0.4289697983939483,False,True,True,True
16306,2017,2018,0.9972,292066,306559,RSID3,2019-03-27,2019-03-27,2020-03-31,-0.0826271186440676,-0.2054727028597418,0.1228455842156741,False,True,True,True
16306,2018,2019,0.1023,306559,50422,RSID3,2020-03-18,2020-03-18,2021-03-25,1.1622222222222225,0.7004258168964921,0.4617964053257302,True,True,True,True
16306,2019,2020,0.7452,50422,206373,RSID3,2021-03-17,2021-03-17,2022-03-22,-0.1935176738342021,0.0062033760093571,-0.1997210498435593,False,True,True,True
16306,2022,2023,0.9864,154882,159421,RSID3,2024-06-24,2024-06-24,2025-06-27,-0.6186915887850467,0.1160239947239396,-0.7347155835089864,True,True,True,True
17329,2016,2017,0.9093,187641,214485,EGIE3,2018-02-22,2018-02-22,2019-03-01,0.3206806282512644,0.091332613113122,0.2293480151381424,False,True,True,True
17329,2017,2018,0.9355,214485,226464,EGIE3,2019-02-19,2019-02-19,2020-02-26,0.0784269661916727,0.0825232453897049,-0.0040962791980321,False,True,True,True
17329,2018,2019,0.9447,226464,274580,EGIE3,2020-02-20,2020-02-20,2021-03-02,-0.197083248960553,-0.0265860985005175,-0.1704971504600355,False,True,True,True
17329,2019,2020,0.9322,274580,311859,EGIE3,2021-04-20,2021-04-20,2022-04-26,0.0251196172224765,-0.0986917674777838,0.1238113847002604,False,True,True,True
17329,2020,2021,0.9692,311859,317252,EGIE3,2022-02-14,2022-02-14,2023-02-15,-0.0431885488690215,-0.0377443421678416,-0.0054442067011799,False,True,True,True
17329,2023,2024,0.9455,296163,304430,EGIE3,2025-02-20,2025-02-20,2026-02-26,0.2961117193927529,0.4968977413739026,-0.2007860219811497,False,True,True,True
17450,2018,2019,0.435,162549,49476,RAIL3,2020-02-13,2020-02-13,2021-02-23,-0.1823529411764706,-0.0037604268975914,-0.1785925142788791,False,True,True,True
17450,2019,2020,0.4361,49476,173524,RAIL3,2021-06-01,2021-06-01,2022-06-06,-0.1456674473067917,-0.1409648074076701,-0.0047026398991215,False,True,True,True
17450,2022,2023,0.9863,176536,182700,RAIL3,2024-03-27,2024-03-27,2025-03-31,-0.2781486426346239,0.0201183140938621,-0.298266956728486,False,True,True,True
17671,2015,2016,0.9404,286341,271106,VIVT3,2017-02-21,2017-02-21,2018-03-05,0.1531200839014157,0.2457684800531541,-0.0926483961517383,False,True,True,True
17671,2016,2017,0.9096,271106,243541,VIVT3,2018-02-21,2018-02-21,2019-02-28,-0.0034658040665433,0.1107766227373225,-0.1142424268038659,False,True,True,True
17671,2017,2018,0.9044,243541,221548,VIVT3,2019-02-20,2019-02-20,2020-02-27,0.1101871101871103,0.0666912079478949,0.0434959022392154,False,True,True,True
17671,2018,2019,0.9299,221548,204525,VIVT3,2020-02-19,2020-02-19,2021-03-01,-0.1650279545016386,-0.0530629707443339,-0.1119649837573046,False,True,True,True
17671,2019,2020,0.8619,204525,308808,VIVT3,2021-02-23,2021-02-23,2022-02-24,0.1046331190423408,-0.0315514201215578,0.1361845391638987,False,True,True,True
17671,2022,2023,0.9017,353605,362155,VIVT3,2024-02-20,2024-02-20,2025-02-19,-0.0037785754770451,-0.0200691815664739,0.0162906060894287,False,True,True,True
17892,2015,2016,0.9384,169631,164826,STBP3,2017-02-15,2017-02-15,2018-02-27,0.9591836734693876,0.2789216362699664,0.6802620371994212,True,True,True,True
17892,2016,2017,0.9064,164826,193960,STBP3,2018-06-18,2018-06-18,2019-06-27,0.8025210084033614,0.4427323574838719,0.3597886509194894,False,True,True,True
17892,2017,2018,0.823,193960,197219,STBP3,2019-02-21,2019-02-21,2020-02-28,0.4119047619047618,0.0746844162423927,0.337220345662369,False,True,True,True
17892,2018,2019,0.9847,197219,209175,STBP3,2020-03-05,2020-03-05,2021-03-12,0.1179487179487179,0.1166666014562782,0.0012821164924397,False,True,True,True
17892,2019,2020,0.9797,209175,222689,STBP3,2021-03-08,2021-03-08,2022-03-11,0.2433962264150944,0.0099581797855161,0.2334380466295782,False,True,True,True
17892,2020,2021,0.9741,222689,231887,STBP3,2022-03-10,2022-03-10,2023-03-13,0.1769005847953217,-0.0927457302997023,0.2696463150950241,False,True,True,True
17892,2021,2022,0.8717,231887,222476,STBP3,2023-11-29,2023-11-29,2024-11-29,0.5334928229665072,-0.0039456860045254,0.5374385089710327,True,True,True,True
