cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
17914,2016,2017,0.0,119815,4193,dropped_or_delisted,False,False,False
17914,2017,2018,0.0,4193,97711,dropped_or_delisted,False,False,False
17914,2018,2019,0.9709,97711,84725,dropped_or_delisted,False,False,False
17914,2019,2020,0.9893,84725,90205,dropped_or_delisted,False,False,False
17973,2015,2016,0.9269,147610,129151,stayed,False,False,False
17973,2016,2017,0.9534,129151,141798,stayed,False,False,False
17973,2017,2018,0.8588,141798,191150,stayed,False,False,False
17973,2018,2019,0.5455,191150,214057,stayed,False,False,False
17973,2019,2020,0.8961,214057,267371,stayed,False,False,False
17973,2020,2021,0.9657,267371,230733,stayed,False,False,False
17973,2021,2022,0.958,230733,216974,stayed,False,False,False
17973,2022,2023,0.9741,216974,237067,stayed,False,False,False
17973,2023,2024,0.9728,237067,226329,stayed,False,False,False
18376,2015,2016,0.9755,173691,180812,stayed,False,False,False
18376,2016,2017,0.9275,180812,205636,stayed,False,False,False
18376,2017,2018,0.8138,205636,214509,stayed,False,False,False
18376,2018,2019,0.7198,214509,191584,stayed,False,False,False
18376,2019,2020,0.7348,191584,215040,stayed,False,False,False
18376,2020,2021,0.933,215040,219262,stayed,False,False,False
18376,2021,2022,0.9363,219262,204761,stayed,False,False,False
18376,2022,2023,0.3901,204761,60635,stayed,False,False,False
18376,2023,2024,0.4025,60635,218668,stayed,False,False,False
18465,2015,2016,0.9776,194813,199554,stayed,False,False,False
18465,2016,2017,0.9748,199554,223219,stayed,False,False,False
18465,2017,2018,0.9772,223219,249965,stayed,False,False,False
18465,2018,2019,0.9645,249965,238178,stayed,False,False,False
18465,2019,2020,0.9684,238178,262783,stayed,False,False,False
18465,2022,2023,0.9442,261976,247201,stayed,False,False,False
18465,2023,2024,0.9453,247201,195504,stayed,False,False,False
18627,2015,2016,0.9236,103568,88783,dropped_or_delisted,False,False,False
18627,2016,2017,0.927,88783,120542,dropped_or_delisted,False,False,False
18627,2017,2018,0.9425,120542,132989,dropped_or_delisted,False,False,False
18627,2018,2019,0.9323,132989,143652,dropped_or_delisted,False,False,False
18627,2019,2020,0.935,143652,180534,dropped_or_delisted,False,False,False
18627,2020,2021,0.4667,180534,159993,dropped_or_delisted,False,False,False
18627,2021,2022,0.8774,159993,149783,dropped_or_delisted,False,False,False
18627,2022,2023,0.9194,149783,152867,dropped_or_delisted,False,False,False
18627,2023,2024,0.8573,152867,133998,dropped_or_delisted,False,False,False
18660,2015,2016,0.9557,197873,204333,stayed,False,False,False
18660,2016,2017,0.9632,204333,193962,stayed,False,False,False
18660,2017,2018,0.9387,193962,187251,stayed,False,False,False
18660,2018,2019,0.9593,187251,179949,stayed,False,False,False
18660,2019,2020,0.9497,179949,203980,stayed,False,False,False
18660,2020,2021,0.9231,203980,224367,stayed,False,False,False
18660,2021,2022,0.9068,224367,230608,stayed,False,False,False
18660,2022,2023,0.8542,230608,218410,stayed,False,False,False
18660,2023,2024,0.9631,218410,217483,stayed,False,False,False
18724,2015,2016,0.6122,17727,69869,stayed,False,False,False
18724,2016,2017,0.9367,69869,90033,stayed,False,False,False
18724,2017,2018,0.8036,90033,92344,stayed,False,False,False
18724,2018,2019,0.8158,92344,76006,stayed,False,False,False
18724,2019,2020,0.8867,76006,69329,stayed,False,False,False
18724,2020,2021,0.9452,69329,64339,stayed,False,False,False
18724,2021,2022,0.9589,64339,64426,stayed,False,False,False
18724,2022,2023,0.5236,64426,12052,stayed,False,False,False
18724,2023,2024,0.9308,12052,11290,stayed,False,False,False
18821,2015,2016,0.979,304976,325975,stayed,False,False,False
18821,2016,2017,0.9524,325975,366236,stayed,False,False,False
18821,2017,2018,0.954,366236,390017,stayed,False,False,False
18821,2018,2019,0.9666,390017,397076,stayed,False,False,False
18821,2019,2020,0.9837,397076,457410,stayed,False,False,False
18821,2020,2021,0.8968,457410,453105,stayed,False,False,False
18821,2021,2022,0.9266,453105,362083,stayed,False,False,False
18821,2022,2023,0.8915,362083,236187,stayed,False,False,False
18821,2023,2024,0.8475,236187,232622,stayed,False,False,False
19445,2015,2016,0.941,168385,162910,stayed,False,False,False
19445,2016,2017,0.9347,162910,164794,stayed,False,False,False
19445,2017,2018,0.9258,164794,187088,stayed,False,False,False
19445,2018,2019,0.9016,187088,222334,stayed,False,False,False
19445,2019,2020,0.9399,222334,204242,stayed,False,False,False
19445,2020,2021,0.9455,204242,210979,stayed,False,False,False
19445,2021,2022,0.9606,210979,196766,stayed,False,False,False
19445,2022,2023,0.6791,196766,123009,stayed,False,False,False
19445,2023,2024,0.6659,123009,218255,stayed,False,False,False
19453,2015,2016,0.9923,197825,215135,dropped_or_delisted,False,False,False
19453,2016,2017,0.8193,215135,196690,dropped_or_delisted,False,False,False
19453,2017,2018,0.945,196690,219762,dropped_or_delisted,False,False,False
19453,2018,2019,0.8833,219762,248648,dropped_or_delisted,False,False,False
19453,2019,2020,0.9559,248648,233061,dropped_or_delisted,False,False,False
19453,2020,2021,0.6522,233061,28545,dropped_or_delisted,False,False,False
19453,2021,2022,0.6485,28545,275777,dropped_or_delisted,False,False,False
19453,2022,2023,0.8965,275777,245155,dropped_or_delisted,False,False,False
