cd_cvm,year_curr,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
19739,2024,0.049000000000000044,0.951,0.6501279329201348,0.6501279329201348
19771,2012,0.3318,0.6682,-0.34847990841615617,-0.34847990841615617
19771,2013,0.08919999999999995,0.9108,-0.44864316301940943,-0.44864316301940943
19771,2014,0.241,0.759,0.50007950107352,0.50007950107352
19836,2014,0.0766,0.9234,0.16430521395804631,0.16430521395804631
19836,2015,0.6273,0.3727,-0.0032925901403195734,-0.0032925901403195734
19836,2016,0.6453,0.3547,-0.3550370770185062,-0.3550370770185062
19836,2017,0.12319999999999998,0.8768,0.04290827825480781,0.04290827825480781
19836,2018,0.6412,0.3588,0.7567839646126804,0.7567839646126804
19836,2019,0.1995,0.8005,-0.32559959476689404,-0.32559959476689404
19836,2020,0.36240000000000006,0.6376,0.167333147314356,0.167333147314356
19836,2021,0.22160000000000002,0.7784,-0.21957173493429338,-0.21957173493429338
19836,2022,0.2803,0.7197,0.13483049412329784,0.13483049412329784
19836,2023,0.4516,0.5484,-0.2976598383595912,-0.2976598383595912
19836,2024,0.8927,0.1073,-0.02628333680479855,-0.02628333680479855
19879,2014,0.33330000000000004,0.6667,-0.2010733706879887,-0.2010733706879887
19879,2015,0.17269999999999996,0.8273,-0.2646448343213593,-0.2646448343213593
19879,2016,0.005499999999999949,0.9945,-0.6216954249956403,-0.6216954249956403
19879,2017,0.006800000000000028,0.9932,1.219117371946524,1.219117371946524
19879,2018,0.017900000000000027,0.9821,-0.4972580181352477,-0.4972580181352477
19879,2019,0.005700000000000038,0.9943,-0.13745805362506547,-0.13745805362506547
19879,2020,0.023599999999999954,0.9764,-0.484138303274936,-0.484138303274936
19879,2021,0.024800000000000044,0.9752,-0.41057949910207336,-0.41057949910207336
19879,2022,0.07679999999999998,0.9232,2.1068758213918657,2.1068758213918657
19879,2023,0.10189999999999999,0.8981,-0.5437748011310546,-0.5437748011310546
19879,2024,0.24180000000000001,0.7582,-0.1637800719879039,-0.1637800719879039
19909,2014,0.11119999999999997,0.8888,0.07853868394690489,0.07853868394690489
19909,2015,0.8472999999999999,0.1527,-0.13248679541455255,-0.13248679541455255
19909,2016,0.925,0.075,-0.23384047207680192,-0.23384047207680192
19909,2017,0.925,0.075,0.5046076523137859,0.5046076523137859
19909,2019,0.8469,0.1531,-0.4107213818499291,-0.4107213818499291
19909,2020,0.1955,0.8045,0.5178259087442896,0.5178259087442896
19992,2014,0.8091,0.1909,-0.12559207568389064,-0.12559207568389064
19992,2015,0.32920000000000005,0.6708,-0.38432687056004244,-0.38432687056004244
19992,2016,0.09040000000000004,0.9096,0.34983609606320987,0.34983609606320987
19992,2017,0.1291,0.8709,0.29254378941866976,0.29254378941866976
19992,2018,0.08040000000000003,0.9196,0.9469869547707304,0.9469869547707304
19992,2019,0.13580000000000003,0.8642,-0.300533976953004,-0.300533976953004
19992,2020,0.13749999999999996,0.8625,-0.02588730995536792,-0.02588730995536792
19992,2021,0.5432,0.4568,-0.02588730995536792,-0.02588730995536792
19992,2022,0.15159999999999996,0.8484,-0.2292997278186324,-0.2292997278186324
19992,2023,0.0736,0.9264,0.1286189672203526,0.1286189672203526
19992,2024,0.12360000000000004,0.8764,-0.40666691775074937,-0.40666691775074937
20010,2014,0.3065,0.6935,0.23297435323268112,0.23297435323268112
20010,2015,0.6448,0.3552,-0.1405900263161528,-0.1405900263161528
20010,2016,0.6914,0.3086,-0.1405900263161528,-0.1405900263161528
20010,2017,0.09840000000000004,0.9016,0.011539286740098298,0.011539286740098298
20010,2018,0.09489999999999998,0.9051,0.18451607760070132,0.18451607760070132
20010,2019,0.49229999999999996,0.5077,-0.22128122714923126,-0.22128122714923126
20010,2020,0.43220000000000003,0.5678,0.4361151370776839,0.4361151370776839
20010,2021,0.3427,0.6573,-0.06023254714560233,-0.06023254714560233
20010,2022,0.6890000000000001,0.311,-0.13141608381046277,-0.13141608381046277
20028,2011,0.6951,0.3049,0.12562717200765805,0.12562717200765805
20028,2012,0.0,1.0,-0.29362074926585124,-0.29362074926585124
20028,2013,0.031399999999999983,0.9686,0.545239606524833,0.545239606524833
20028,2014,0.019499999999999962,0.9805,-0.33387679914830126,-0.33387679914830126
20028,2015,0.06630000000000003,0.9337,-0.4927253792903832,-0.4927253792903832
20028,2016,0.0,1.0,0.10400370234307021,0.10400370234307021
20028,2017,0.9874,0.0126,0.38751570489089526,0.38751570489089526
20028,2018,0.09160000000000001,0.9084,-0.5076964105514898,-0.5076964105514898
20028,2019,0.13090000000000002,0.8691,-0.09131056759138001,-0.09131056759138001
20028,2020,0.20189999999999997,0.7981,0.24851035944056332,0.24851035944056332
20028,2021,0.01970000000000005,0.9803,0.184523288769467,0.184523288769467
20028,2022,0.2844,0.7156,0.4821840015527401,0.4821840015527401
20028,2023,0.03759999999999997,0.9624,-0.057608675771165685,-0.057608675771165685
20060,2011,0.11099999999999999,0.889,-0.5358367237885069,-0.5358367237885069
20060,2012,0.19879999999999998,0.8012,0.14658497613647792,0.14658497613647792
20060,2018,0.5363,0.4637,0.8371971561870564,0.8371971561870564
20060,2019,0.017299999999999982,0.9827,2.2533294875323358,2.2533294875323358
20060,2020,0.02310000000000001,0.9769,0.5854672660173061,0.5854672660173061
20060,2021,0.36970000000000003,0.6303,-0.8715571801602114,-0.8715571801602114
20060,2022,0.11929999999999996,0.8807,-0.685926313378264,-0.685926313378264
20060,2023,0.6938,0.3062,0.8237509820408799,0.8237509820408799
20087,2014,0.05169999999999997,0.9483,-0.1973708891192102,-0.1973708891192102
20087,2015,0.03490000000000004,0.9651,0.030523468964524847,0.030523468964524847
20087,2016,0.014100000000000001,0.9859,0.12402552935268729,0.12402552935268729
20087,2017,0.030299999999999994,0.9697,-0.4550771664626949,-0.4550771664626949
20087,2018,0.054200000000000026,0.9458,-0.24644461543656926,-0.24644461543656926
20087,2023,0.47709999999999997,0.5229,0.7440783966921836,0.7440783966921836
20087,2024,0.3468,0.6532,-0.5859073138094322,-0.5859073138094322
20168,2012,0.1604,0.8396,-0.5629285207418264,-0.5629285207418264
20168,2013,0.24129999999999996,0.7587,1.9050044514328324,1.9050044514328324
20168,2014,0.8007,0.1993,1.1253321739785176,1.1253321739785176
20168,2015,0.8015,0.1985,-0.8283277092575632,-0.8283277092575632
20168,2016,0.7818,0.2182,-0.769972915029282,-0.769972915029282
20257,2014,0.0,1.0,-0.06432548340740585,-0.06432548340740585
20257,2015,0.8914,0.1086,0.05098117401723212,0.05098117401723212
20257,2017,0.34740000000000004,0.6526,0.7097725706602205,0.7097725706602205
20257,2018,0.7795,0.2205,0.10576196045200725,0.10576196045200725
