cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2016,2017,0.9081,3231,3485,font_heading,font_heading,2018-02-19,6505.0,BHIA3,2017-12-31,4.375000144,2018-03-31,4.500000149,0.12500000499999953,0.028571428773877434
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2017,2018,0.8403,3485,3880,font_heading,font_heading,2019-02-20,6505.0,BHIA3,2018-12-31,4.829999892,2019-03-31,0.319999993,-4.509999899,-0.9337474119761326
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2018,2019,0.7987,3880,6079,font_heading,font_heading,2020-03-26,6505.0,BHIA3,2019-12-31,-6.219999861,2020-03-31,2.709999939,8.9299998,1.4356913182574105
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2019,2020,0.1693,6079,11088,font_heading,regex_only,2021-03-02,6505.0,BHIA3,2020-12-31,3.419999924,2021-03-31,2.24999995,-1.169999974,-0.34210526315789475
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2020,2021,0.0756,11088,533,regex_only,font_heading,2022-03-09,6505.0,BHIA3,2021-12-31,-1.069999976,2022-03-31,-1.749999961,-0.679999985,-0.6355140189274172
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2021,2022,1.0,533,533,font_heading,font_heading,2023-03-09,6505.0,BHIA3,2022-12-31,-2.68999994,2023-03-31,0.289999994,2.979999934,1.107806691623941
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2022,2023,0.3103,533,10433,font_heading,font_heading,2024-03-25,6505.0,BHIA3,2023-12-31,-6.09,2024-03-31,-0.17,5.92,0.9720853858784894
6505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2023,2024,0.5741,10433,9969,font_heading,font_heading,2025-03-12,6505.0,BHIA3,,,,,,
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2015,2016,1.0,819,819,font_heading,font_heading,2017-02-20,,,,,,,,
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2016,2017,0.0683,819,7885,font_heading,regex_only,2018-03-14,,,,,,,,
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2017,2018,0.8909,7885,6172,regex_only,regex_only,2019-03-20,,,,,,,,
