cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
20788,2021,2022,0.8915,242469,305067,stayed,True,True,True
20788,2022,2023,0.9668,305067,312502,stayed,True,True,True
20788,2023,2024,0.9791,312502,305504,stayed,True,True,True
20915,2018,2019,0.3238,30012,188638,stayed,True,True,True
20915,2021,2022,0.847,228525,244689,stayed,True,True,True
20915,2022,2023,0.9587,244689,230464,stayed,True,True,True
20915,2023,2024,0.9656,230464,230495,stayed,True,True,True
20931,2021,2022,0.9841,201620,209217,stayed,True,True,True
20931,2022,2023,0.989,209217,213742,stayed,True,True,True
20982,2016,2017,0.9941,228745,247081,stayed,True,True,True
20982,2017,2018,0.9188,247081,345172,stayed,True,True,True
20982,2018,2019,0.9972,345172,353296,stayed,True,True,True
20982,2019,2020,0.9966,353296,353263,stayed,True,True,True
20982,2020,2021,0.9986,353263,355992,stayed,True,True,True
20982,2021,2022,0.9969,355992,341236,stayed,True,True,True
20982,2022,2023,0.997,341236,324339,stayed,True,True,True
20982,2023,2024,0.9973,324339,325936,stayed,True,True,True
20990,2020,2021,0.7195,148405,207710,dropped_or_delisted,True,True,True
20990,2021,2022,0.7884,207710,291459,dropped_or_delisted,True,True,True
21016,2017,2018,0.8071,162509,171186,stayed,True,True,True
21016,2018,2019,0.9602,171186,159441,stayed,True,True,True
21016,2019,2020,0.6137,159441,184640,stayed,True,True,True
21016,2020,2021,0.9621,184640,183354,stayed,True,True,True
21016,2021,2022,0.9371,183354,175955,stayed,True,True,True
21016,2022,2023,0.9689,175955,177752,stayed,True,True,True
21016,2023,2024,0.9551,177752,186030,stayed,True,True,True
21091,2015,2016,0.9825,139892,150339,dropped_or_delisted,True,True,True
21091,2016,2017,0.9773,150339,168382,dropped_or_delisted,True,True,True
21091,2017,2018,0.9854,168382,178255,dropped_or_delisted,True,True,True
21091,2018,2019,0.9513,178255,173990,dropped_or_delisted,True,True,True
21091,2019,2020,0.9885,173990,180750,dropped_or_delisted,True,True,True
21091,2020,2021,0.2604,180750,171055,dropped_or_delisted,True,True,True
21091,2021,2022,0.9857,171055,187329,dropped_or_delisted,True,True,True
21091,2022,2023,0.9929,187329,193791,dropped_or_delisted,True,True,True
21091,2023,2024,0.9914,193791,217643,dropped_or_delisted,True,True,True
21237,2015,2016,0.9354,199633,210225,stayed,True,True,True
21237,2018,2019,0.9048,202899,193041,stayed,True,True,True
