CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,despesas_financeiras,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,roa,past_12m_return
15253,7,0.14285714285714285,0.0,5,0.2,0.2,2024,0,1,499596.0,0.009077220969471314,0.24370324649787933,18.16167233131006,0.713102516734126,0.0600697422222869,-0.2899961075264695
16101,5,0.0,0.0,6,0.3333333333333333,0.0,2024,0,0,88018.0,0.02627112042218608,0.9573188548412113,15.483663882598153,0.6318632791732447,-0.0076801549194916,-0.7659625370166183
16292,9,0.2222222222222222,0.0,8,0.0,0.0,2024,0,0,6635019.0,0.14369017221807961,0.3905006731496711,17.953474414612604,0.7367501556759182,0.058905457091109,0.8257739380849531
16306,4,0.0,0.0,3,0.6666666666666666,0.0,2024,0,0,123172.0,0.10129934428305787,0.5023302882095786,13.034770740606852,2.6544610286268164,0.1877236299493305,-0.3301435406698564
17329,9,0.2222222222222222,0.0,8,0.125,0.0,2024,0,0,1809587.0,0.047832301748077545,0.18224531075514355,17.72977706485991,0.7549424441715419,0.0858639678110171,-0.195193833580123
17450,10,0.3,0.1,4,0.0,0.0,2024,1,0,875202.0,0.024544428735896382,0.2539889488477267,17.739324239375136,0.7047981299713995,-0.0187623103683683,-0.1967582170193607
17671,12,0.3333333333333333,0.08333333333333333,5,0.0,0.0,2024,1,0,3395232.0,0.061573439725934036,0.2305307035376369,18.64334956660075,0.441338890498853,0.0444797668090038,-0.1324429604897049
17892,7,0.2857142857142857,,3,0.0,,2024,0,0,226586.0,0.0464288648834504,0.34134138528798685,15.527801404700355,0.8806564913431795,0.1338891974616909,0.4508287292817678
17973,6,0.3333333333333333,0.0,7,0.0,0.0,2024,0,0,618543.0,0.05805045674603119,0.5762292931793424,17.001879719915934,0.4402929290424952,0.0409758103171848,-0.688571428560653
18376,9,0.0,0.25,5,0.2,0.0,2024,1,0,1235964.0,0.05319783845205276,0.2093114558560759,17.583770161847188,0.5365095817001747,0.0820404385378451,-0.0416493127863389
18465,9,0.2222222222222222,0.1111111111111111,5,0.0,0.0,2024,1,0,20959.0,0.0008830556869856408,0.3131290813093801,17.493280377992654,0.5999945801203567,0.0638529570474032,-0.382101167315175
18627,9,0.2222222222222222,0.0,9,0.1111111111111111,0.0,2024,0,0,697190.0,0.0720290211278861,0.24334038391286297,16.836325611885727,0.4719764482153306,0.0753533742929588,-0.0515358361774744
18660,6,0.16666666666666666,0.0,8,0.125,0.14285714285714285,2024,0,1,2728.0,4.9300463827365966e-05,0.17760612802545744,18.160992417965787,0.7174217975102917,0.0747000415951449,-0.1719528178243774
18724,8,0.125,0.0,2,0.0,0.0,2024,0,0,528.0,0.00427471522138653,0.2407245104394769,15.968072906138676,0.0143509544220649,0.1385179584156124,-0.3260162601626017
18821,11,0.18181818181818182,0.0,8,0.125,0.0,2024,0,0,0.0,0.0,0.24382380883735005,17.89469239487714,0.7630664408755495,0.0221942366409559,-0.2863157894736842
19445,7,0.14285714285714285,0.2857142857142857,5,0.0,0.0,2024,1,0,697742.0,0.09348648634163857,0.2802562059909886,16.557110873439754,0.481154043547137,0.0848980088628075,0.0062832286128564
19453,9,0.1111111111111111,0.0,5,0.2,0.0,2024,0,0,84108.0,0.0032847584209914605,0.48132625092907194,17.19296434490944,0.8740259533680989,0.0311799714378188,-0.5646817248459959
19550,3,0.0,0.0,4,0.5,0.0,2024,0,0,55769.0,0.005021827828628786,0.3954994080907547,16.826881605919954,0.5466498195393664,0.0374418035253741,-0.2224253503961
19569,9,0.1111111111111111,0.0,3,0.6666666666666666,0.0,2024,0,0,4295920.0,0.08093784136867384,,16.992991766062055,2.2127992353622767,-0.252940756377161,
19623,5,0.2,0.0,8,0.25,0.0,2024,0,0,1461246.0,0.07888894689540574,,17.09108692964509,0.7000715574229516,-0.0452002309581683,
19739,8,0.25,0.0,8,0.125,0.14285714285714285,2024,0,1,4149864.0,0.06814126682838624,0.4281046525610847,18.28421484415597,0.6980556523757666,0.020784445558286,-0.4981928924560452
19763,3,0.0,0.0,3,0.3333333333333333,0.0,2024,0,0,50599.0,0.0019506509481700257,,17.469016403320023,0.6718385847692667,0.06396289811374,
19836,9,0.2222222222222222,0.0,3,0.3333333333333333,0.0,2024,0,0,5915360.0,0.05806913566382382,0.32414859247120453,18.766154502185085,0.7211049415166018,-0.0577759097166986,-0.5629351901446171
