CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
15636,CIA GAS DE SAO PAULO - COMGAS,2021,2021-12-31,2022-02-17,111856,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2022,2022-12-31,2023-02-16,123598,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2023,2023-12-31,2024-03-27,135229,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2024,2024-12-31,2025-02-25,145010,ibx_extension
15636,CIA GAS DE SAO PAULO - COMGAS,2025,2025-12-31,2026-03-04,155069,ibx_extension
14761,CIA HERING,2010,2010-12-31,2011-03-04,5143,history_extension
14761,CIA HERING,2011,2011-12-31,2012-02-29,14615,history_extension
14761,CIA HERING,2012,2012-12-31,2013-02-21,24394,history_extension
14761,CIA HERING,2013,2013-12-31,2014-02-20,34703,history_extension
14761,CIA HERING,2014,2014-12-31,2015-02-26,44328,history_extension
14311,CIA PARANAENSE DE ENERGIA - COPEL,2010,2010-12-31,2011-03-29,5889,history_extension
14311,CIA PARANAENSE DE ENERGIA - COPEL,2011,2011-12-31,2012-03-26,15394,history_extension
14311,CIA PARANAENSE DE ENERGIA - COPEL,2012,2012-12-31,2013-03-25,25260,history_extension
14311,CIA PARANAENSE DE ENERGIA - COPEL,2013,2013-12-31,2014-09-30,41476,history_extension
14311,CIA PARANAENSE DE ENERGIA - COPEL,2014,2014-12-31,2015-03-20,45144,history_extension
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2010,2010-12-31,2011-03-29,5881,history_extension
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2011,2011-12-31,2012-03-23,15327,history_extension
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2012,2012-12-31,2013-03-25,25223,history_extension
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2013,2013-12-31,2014-03-28,35848,history_extension
14443,CIA SANEAMENTO BASICO EST SAO PAULO,2014,2014-12-31,2015-03-26,45337,history_extension
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2010,2010-12-31,2011-03-17,5323,history_extension
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2011,2011-12-31,2012-03-09,14868,history_extension
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2012,2012-12-31,2013-03-06,24718,history_extension
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2013,2013-12-31,2014-01-30,34244,history_extension
19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,2014,2014-12-31,2015-04-06,45826,history_extension
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2010,2010-12-31,2011-03-25,5592,history_extension
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2011,2011-12-31,2014-03-28,35851,history_extension
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2012,2012-12-31,2014-02-25,34800,history_extension
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2013,2013-12-31,2014-02-25,34808,history_extension
18627,CIA SANEAMENTO DO PARANA - SANEPAR,2014,2014-12-31,2016-10-18,60081,history_extension
4030,CIA SIDERURGICA NACIONAL,2010,2010-12-31,2011-03-28,5742,history_extension
4030,CIA SIDERURGICA NACIONAL,2011,2011-12-31,2012-03-26,15383,history_extension
4030,CIA SIDERURGICA NACIONAL,2012,2012-12-31,2013-03-28,25741,history_extension
4030,CIA SIDERURGICA NACIONAL,2013,2013-12-31,2014-02-28,34941,history_extension
4030,CIA SIDERURGICA NACIONAL,2014,2014-12-31,2015-03-12,44924,history_extension
17973,COGNA EDUCAÇÃO S.A.,2010,2010-12-31,2011-05-30,8746,history_extension
17973,COGNA EDUCAÇÃO S.A.,2011,2011-12-31,2012-03-28,15551,history_extension
17973,COGNA EDUCAÇÃO S.A.,2012,2012-12-31,2013-03-20,25077,history_extension
17973,COGNA EDUCAÇÃO S.A.,2013,2013-12-31,2014-03-18,35262,history_extension
17973,COGNA EDUCAÇÃO S.A.,2014,2014-12-31,2015-04-16,46008,history_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2020,2020-12-31,2021-06-22,104504,ibx_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2021,2021-12-31,2022-03-16,112592,ibx_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2022,2022-12-31,2023-03-09,124039,ibx_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2023,2023-12-31,2024-03-07,134541,ibx_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2024,2024-12-31,2025-03-10,145251,ibx_extension
25984,COMPANHIA BRASILEIRA DE ALUMÍNIO,2025,2025-12-31,2026-03-04,155063,ibx_extension
18112,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,2010,2010-12-31,2011-03-03,5110,ibx_extension
