CD_CVM,ANO,ID_DOC,new_tier
017450,2017,71838,largest_attachment_fallback_content_filtered
017450,2018,80645,largest_attachment_fallback
017450,2019,90947,largest_attachment_fallback
017450,2020,105707,largest_attachment_fallback
017450,2022,123564,largest_attachment_fallback
017450,2023,135221,largest_attachment_fallback
017450,2024,144902,largest_attachment_fallback
017639,2011,14958,largest_attachment_fallback_content_filtered
017639,2012,24104,largest_attachment_fallback_content_filtered
017639,2013,34545,largest_attachment_fallback
017639,2014,44085,largest_attachment_fallback
017639,2015,53230,largest_attachment_fallback
017639,2016,62286,largest_attachment_fallback
017639,2017,71348,largest_attachment_fallback
017639,2018,80759,largest_attachment_fallback
017639,2019,90896,largest_attachment_fallback
017671,2010,4773,largest_attachment_fallback
017671,2011,14351,largest_attachment_fallback
017671,2012,24426,largest_attachment_fallback
017671,2013,34836,largest_attachment_fallback
017671,2014,44240,largest_attachment_fallback
017671,2015,53605,largest_attachment_fallback
017671,2016,62682,largest_attachment_fallback
017671,2017,71637,largest_attachment_fallback
017671,2018,80760,largest_attachment_fallback
017671,2019,91063,largest_attachment_fallback
017671,2020,100383,largest_attachment_fallback
017671,2021,111940,largest_attachment_fallback
017671,2022,123623,largest_attachment_fallback
017671,2023,134135,largest_attachment_fallback
017671,2024,145006,largest_attachment_fallback
017710,2010,5021,largest_attachment_fallback
017892,2010,4565,largest_attachment_fallback
017892,2011,14078,largest_attachment_fallback
017892,2012,24068,largest_attachment_fallback
017892,2013,34432,largest_attachment_fallback
017892,2014,43953,largest_attachment_fallback
017892,2015,53956,largest_attachment_fallback
017892,2016,62550,largest_attachment_fallback
017892,2017,75944,largest_attachment_fallback
017892,2018,80819,largest_attachment_fallback
017892,2019,91395,largest_attachment_fallback
017892,2020,100762,largest_attachment_fallback
017892,2021,112430,largest_attachment_fallback
017892,2022,132843,largest_attachment_fallback
017892,2023,134918,largest_attachment_fallback
017892,2024,144905,largest_attachment_fallback
017914,2010,5488,largest_attachment_fallback
017914,2011,16094,largest_attachment_fallback
017914,2012,25004,largest_attachment_fallback
017914,2013,35564,largest_attachment_fallback
017914,2014,45626,largest_attachment_fallback
017914,2015,54794,largest_attachment_fallback
017914,2016,63750,largest_attachment_fallback
017914,2017,72870,largest_attachment_fallback
017914,2018,81602,largest_attachment_fallback
017914,2019,92113,largest_attachment_fallback
017914,2020,102721,largest_attachment_fallback
017973,2010,8746,largest_attachment_fallback
017973,2011,15551,largest_attachment_fallback
017973,2012,25077,largest_attachment_fallback
017973,2013,35262,largest_attachment_fallback
017973,2014,46008,largest_attachment_fallback
017973,2015,54054,largest_attachment_fallback
017973,2016,63411,largest_attachment_fallback
017973,2017,72338,largest_attachment_fallback
017973,2018,85096,largest_attachment_fallback
017973,2019,92053,largest_attachment_fallback
017973,2020,102489,largest_attachment_fallback
018112,2010,5110,largest_attachment_fallback
018112,2011,14793,largest_attachment_fallback
018112,2012,24480,largest_attachment_fallback
018350,2010,5577,largest_attachment_fallback
018350,2012,24466,largest_attachment_fallback
018350,2013,34821,largest_attachment_fallback_content_filtered
018350,2014,44287,largest_attachment_fallback
018376,2010,6642,largest_attachment_fallback
018376,2011,15060,largest_attachment_fallback
018376,2012,24462,largest_attachment_fallback
018376,2013,34923,largest_attachment_fallback
018376,2014,44330,largest_attachment_fallback
018376,2015,55192,largest_attachment_fallback
018376,2016,62762,largest_attachment_fallback
018376,2017,71790,largest_attachment_fallback
018376,2018,80990,largest_attachment_fallback
018376,2019,91364,largest_attachment_fallback
018376,2020,100343,largest_attachment_fallback
018376,2024,144965,largest_attachment_fallback
018465,2010,4927,largest_attachment_fallback
018465,2011,14363,largest_attachment_fallback
018465,2012,24368,largest_attachment_fallback
018465,2013,34677,largest_attachment_fallback
018465,2014,44281,largest_attachment_fallback
018465,2015,53442,largest_attachment_fallback
018465,2016,62729,largest_attachment_fallback
018465,2017,71663,largest_attachment_fallback
018465,2018,80786,largest_attachment_fallback
018465,2019,91597,largest_attachment_fallback
018465,2020,100462,largest_attachment_fallback
018465,2023,134329,largest_attachment_fallback
